,countyCode,County,State,county_state,total_claims
0,01001,Autauga,AL,"Autauga County, AL",1343981.0
1,01003,Baldwin,AL,"Baldwin County, AL",697512529.0
2,01005,Barbour,AL,"Barbour County, AL",711649.0
3,01007,Bibb,AL,"Bibb County, AL",32900.0
4,01009,Blount,AL,"Blount County, AL",814530.0
5,01011,Bullock,AL,"Bullock County, AL",62115.0
6,01013,Butler,AL,"Butler County, AL",9900.0
7,01015,Calhoun,AL,"Calhoun County, AL",618527.0
8,01017,Chambers,AL,"Chambers County, AL",918815.0
9,01019,Cherokee,AL,"Cherokee County, AL",265544.0
10,01021,Chilton,AL,"Chilton County, AL",42225.0
11,01023,Choctaw,AL,"Choctaw County, AL",524010.0
12,01025,Clarke,AL,"Clarke County, AL",894585.0
13,01027,Clay,AL,"Clay County, AL",0.0
14,01031,Coffee,AL,"Coffee County, AL",17906660.0
15,01033,Colbert,AL,"Colbert County, AL",1807184.0
16,01035,Conecuh,AL,"Conecuh County, AL",62490.0
17,01037,Coosa,AL,"Coosa County, AL",186064.0
18,01039,Covington,AL,"Covington County, AL",407568.0
19,01041,Crenshaw,AL,"Crenshaw County, AL",0.0
20,01043,Cullman,AL,"Cullman County, AL",718516.0
21,01045,Dale,AL,"Dale County, AL",3665814.0
22,01047,Dallas,AL,"Dallas County, AL",1903423.0
23,01049,DeKalb,AL,"DeKalb County, AL",1038204.0
24,01051,Elmore,AL,"Elmore County, AL",804782.0
25,01053,Escambia,AL,"Escambia County, AL",14205414.0
26,01055,Etowah,AL,"Etowah County, AL",783677.0
27,01059,Franklin,AL,"Franklin County, AL",52093.0
28,01061,Geneva,AL,"Geneva County, AL",2807809.0
29,01063,Greene,AL,"Greene County, AL",1710879.0
30,01065,Hale,AL,"Hale County, AL",952967.0
31,01067,Henry,AL,"Henry County, AL",188995.0
32,01069,Houston,AL,"Houston County, AL",3622219.0
33,01071,Jackson,AL,"Jackson County, AL",743776.0
34,01073,Jefferson,AL,"Jefferson County, AL",48393869.0
35,01075,Lamar,AL,"Lamar County, AL",66572.0
36,01077,Lauderdale,AL,"Lauderdale County, AL",1349205.0
37,01079,Lawrence,AL,"Lawrence County, AL",565083.0
38,01081,Lee,AL,"Lee County, AL",353491.0
39,01083,Limestone,AL,"Limestone County, AL",685906.0
40,01085,Lowndes,AL,"Lowndes County, AL",121634.0
41,01087,Macon,AL,"Macon County, AL",24413.0
42,01089,Madison,AL,"Madison County, AL",10282171.0
43,01091,Marengo,AL,"Marengo County, AL",188571.0
44,01093,Marion,AL,"Marion County, AL",169535.0
45,01095,Marshall,AL,"Marshall County, AL",1229725.0
46,01097,Mobile,AL,"Mobile County, AL",365075041.0
47,01099,Monroe,AL,"Monroe County, AL",112244.0
48,01101,Montgomery,AL,"Montgomery County, AL",6568816.0
49,01103,Morgan,AL,"Morgan County, AL",3093753.0
